type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,,"1975 ""Decor"" Time Capsule hits market for the very first time. Solid ALL brick ranch with full basement- mostly unfinished. This corner lot will put you near corporate Zimmer/Biomet and also the new Slate manufacturing hub. Owner has invested in new HVAC (2022) and newer roof. This home awaits just the 2nd owners in 50 years. CASH OR CONVENTIONAL LOAN PREFERRED. Seller disclosing hall bath toilet needs repaired/replaced and bad light switch. Primary bath toilet leaks (toilet drained and water turned off) and Shower leaks. Fireplace in lower level never used (flue closed & boarded up chimney).",194900.0,1646.0,1.0,3.0,2.0,2.0,2.0,2.0,1975.0
single_family,,"A peaceful country setting, generous acreage, and true single-level comfort come together here in rural Indiana this is a property that doesn't hit the market often. Set on approximately 4 acres in the desirable Delaware [Redacted School District], this 2,100 sq. ft. home is designed for easy living. The floorplan includes 3 bedrooms and 2.5 baths, highlighted by a spacious master suite with a walk-in closet and private bath. A large living room, formal dining room, and expansive kitchen with a brand-new garbage disposal create an inviting space for everyday life and entertaining. The separate laundry room adds convenience and functionality. Comfort is well covered with gas forced-air heat, central air conditioning, and a dependable water heater. A 2-car attached garage and paved driveway add everyday practicality. What truly sets this property apart is the land and extras: enjoy room to breathe with 4+/- acres plus a 1,700 sq. ft. insulated outbuilding featuring an overhead door-ideal for a workshop, storage, hobby space, or the perfect man cave. Whether you're looking for elbow room, one-level convenience, or a place to spread out and create, this property delivers.",279000.0,2796.0,1.0,3.0,3.0,2.0,2.0,2.0,1984.0
single_family,,"**Open House Sunday March 22, from 2-4pm**Luxury living in Westwood Forest Subdivision off Brick Road in [Redacted Township], South Bend; minutes from Elbel Golf Course, the Toll Road, 20 Bypass, South Bend International Airport, and just a stone's throw from the Michigan state line. This home checks every box: Two car garage. Professional landscaping. Stunning hardscaping. Private backyard built for entertainment. Inside, you'll find a dramatic vaulted family room with built-ins and fireplace, an updated kitchen with stainless steel appliances, granite island, Corian countertops, and a cozy eat-in dining area with a separate reading nook. Main level laundry with locker storage keeps life organized. The main floor primary en suite delivers true luxury with dual closets (one is a walk-in closet), dual vanity, walk-in shower, and soaking tub. Downstairs? A finished basement featuring a high-tech theater with professionally installed smart technology and hidden equipment room, quartz bar top, space for a game room, workout area, and plenty of storage. And the backyard: next level. Heated in-ground pool with automatic cover, covered patio, covered outdoor bar with a ceiling fan, built-in grill, outdoor fireplace, and full hardscape surround. This is outdoor living done right. Luxury. Entertainment. Backyard oasis. Space for all of the Michiana seasons.",640000.0,3871.0,2.0,5.0,3.0,2.0,2.0,2.0,1993.0
single_family,,"Charming 1.5 story home set on 2.25 peaceful acres in rural eastern [Redacted County]. With 2,880 sq ft of living space, this property features 4 spacious bedrooms and 2 full baths, offering comfort and flexibility for a variety of lifestyles. The generous layout provides room to gather, work, and relax, while the surrounding acreage is ideal for gardening, hobbies, or simply enjoying open country views. A wonderful opportunity to embrace quiet, private country living. The property will be surveyed from the parent tract, and approximately 2.25 acres will be offered for sale with the home and garage. The survey completion date is estimated for early May. Showings will not be available until March 30th and can be scheduled through Showing Time. All appliances will remain with the home. Installation/purchase dates: Carport/Garage 2/2016, Dishwasher 5/2016, Roof 5/2018, Water Softener 10/2018, Furnace 8/2020, Home Generator 12/2020, Range 4/2023, Gutters 8/2023, Refrigerator & Microwave 7/2024, all documents are available.",279900.0,4080.0,2.0,4.0,2.0,2.0,2.0,2.0,1854.0
single_family,,THIS ESTATE HOME IS READY FOR YOU TO RESTORE AND MAKE IT YOUR OWN. OPEN FRONT DECK IS 16 x 12'. BACK OPEN DECK Is 14' x 10'. IT IS LOCATED ON A SPACIOUS LOT. IT INCLUDES A 12' WIDE x 87' LONG LOT THE FRONTS LIME LAKE OFF OF W ORLAND ROAD.,89900.0,1152.0,1.0,3.0,2.0,1.0,1.0,,1979.0
single_family,,"Assumable low rate FHA loan available plus flexible timeline! Beautifully updated home in the heart of Bates Hendricks. Two options for master bedroom-one on the main level or one upstairs. Ample storage and closet space. Laundry room has been conveniently relocated to the main level. Open floor plan with plentiful natural light and tall ceilings. Kitchen features breakfast bar, gas stove, and original exposed brick. Roof is less than 4 years old and the installed solar panels will help save on electric bills far into the future! Unfinished basement can be used for additional storage. Wonderful location walkable to local shops, coffee, restaurants, and more. Additional Features: * New reverse osmosis system * New water heater and new water softener and carbon filter * Floating island * Newer covered back porch, new backyard fence, and new front porch posts * 2 car garage with bump out, built in workbench, and storage shelves PLUS standing attic space * Small garden in back yard * Virtual 3D walkthrough link below!",400000.0,2549.0,2.0,4.0,3.0,3.0,3.0,2.0,2010.0
single_family,,"Great starter home. Spacious 3 bedroom, 1 full and 2 half baths, 1760 sq ft has lots to offer. Large eat-in kitchen, two family rooms, wood burning fireplace, 2 car attached garage, and fenced back yard. Some visible discoloration was cut/removed and/or treated. Some may still be present in or out of sight. No formal remediation was done. No before/after professional reports are in hand. Buyer to conduct due diligence. Plumbing system did not hold pressure during winterization. Water will not be turned on.",124500.0,1760.0,,3.0,3.0,1.0,1.0,2.0,1978.0
single_family,,"This 4 BR ranch home has had lots of updates and is ready to move into. A large portion of the attached garage has been converted into a bedroom to include double closets giving the home approximately 1280 sq ft of living space. The remaining portion of the garage is attached storage. Updates include newer vinyl siding, windows, an 8 yr old roof, new LVP flooring, 4 yr old water heater and new baseboard heaters throughout. You will appreciate the newly installed covered front porch, the privacy fence in the rear yard and the front yard wood fencing. In addition to the attached storage space you will find two more storage units. Call or Text Debbie Rudd to schedule your tour of this great home.",139900.0,1280.0,1.0,4.0,1.0,1.0,1.0,,2002.0
single_family,,"Over 3,000 SQ FT of living space featuring 5 BEDROOMS, 2 BATHROOMS, and THREE SEPARATE LIVING ROOMS. This beautiful brick front home sits on an OVER HALF ACRE LOT at the end of a dead-end street and offers backyard privacy that is hard to find in this area. The property features TWO SEPARATE FENCED BACKYARDS, creating a great setup for entertaining, pets, recreation, or gardening. Step outside to your own BACKYARD RETREAT with an above ground pool, DOUBLE TIER DECK, beautiful landscaping, and newer concrete walkways throughout the yard. With multiple outdoor spaces, there is plenty of room to host gatherings, relax by the pool, or simply enjoy the privacy of your own backyard. Inside you will find an ENORMOUS EAT-IN KITCHEN with abundant cabinet space, newer cabinets, and stainless steel appliances. The kitchen provides direct access to the spacious THREE SEASON ROOM with newer windows, making it a great place to relax while overlooking the backyard. The layout offers excellent flexibility with THREE LIVING AREAS that can be used for a family room, recreation room, office space, or additional gathering areas. Additional finished square footage currently used as storage could easily be converted into an additional living space or bedroom. MAJOR UPDATES include a BRAND NEW ROOF, BRAND NEW WATER HEATER, newer windows, and FURNACE AND AC (2018). This home offers a unique combination of space, layout flexibility, and outdoor living on a lot size that is rarely available.",295000.0,3050.0,,5.0,2.0,2.0,2.0,,1970.0
single_family,,"Exceptional custom ranch nestled on a spacious cul-de-sac lot in the highly desirable community of St. John. Thoughtfully designed with both comfort and entertaining in mind, this beautifully crafted home blends timeless architectural details with modern finishes throughout. The main living area showcases soaring vaulted ceilings with exposed wood beams and a dramatic floor-to-ceiling brick fireplace, creating a warm yet sophisticated gathering space. Expansive sliding glass doors invite natural light and open to a large covered patio, offering the perfect setting for outdoor relaxation and entertaining. The gourmet kitchen is designed to impress, featuring honed granite countertops with chiseled edges, custom cabinetry, premium stainless steel appliances, and a generous island ideal for meal preparation and casual dining. The private primary suite provides a peaceful retreat with barn doors leading to a luxurious ensuite complete with a soaking tub, oversized walk-in shower, dual vanities, and a spacious walk-in closet. Two additional main-floor bedrooms share a convenient Jack-and-Jill bath, while a fourth bedroom above the garage offers flexible living space ideal for guests, a home office, or recreation. The unfinished lower level offers approximately 2,600 square feet of additional potential, providing endless possibilities for future living space, recreation areas, or storage. Situated in a quiet cul-de-sac while remaining close to local dining, shopping, and conveniences, this remarkable property offers refined living in one of Northwest Indiana's most sought-after communities.",719000.0,2744.0,1.0,4.0,3.0,2.0,2.0,2.0,2019.0
